Month July     Date,TEMP. (?),pH,TSS(mg/l),BOD (mg/l),COD(mg/l),DO(mg/l),pH,TSS(mg/l),BOD(mg/l),COD(mg/l),DO(mg/l)
01-04-2023,24,8.75,219,145,268,0,8.05,9,5,48,5.1
02-04-2023,26,8.64,237,190,220,0,7.93,13,9,32,5
03-04-2023,25,8.73,227,140,288,0,8.1,11,6,44,5.3
04-04-2023,24,8.57,260,180,224,0,8.14,9,8,42,2.6
05-04-2023,26,8.77,227,215,228,0,7.18,10,10,28,5.2
06-04-2023,27,8.6,290,165,244,0,8.2,12,9,36,5.4
07-04-2023,26,8.52,217,150,284,0,7.14,9,7,24,5.3
08-04-2023,26,8.76,222,170,292,0,7.98,12,5,40,5.2
09-04-2023,27,8.67,273,130,208,0,7.9,9,8,32,5.4
10-04-2023,26,8.59,240,175,268,0,8.25,13,7,44,5.2
11-04-2023,26,8.62,254,160,284,0,8.16,10,8,48,5.3
12-04-2023,27,8.71,240,195,272,0,7.95,11,5,36,5.7
13-04-2023,24,8.63,203,145,232,0,8.11,10,5,40,5.4
14-04-2023,26,8.7,218,160,296,0,8.2,13,7,28,5.2
15-04-2023,24,8.81,259,155,240,0,8.14,11,9,44,5.4
16-04-2023,24,8.77,217,190,300,0,8.21,9,7,48,5.3
17-04-2023,25,8.69,246,180,288,0,7.91,12,10,40,5.2
18-04-2023,24,8.65,269,175,284,0,7.21,11,7,32,5.8
19-04-2023,24,8.76,207,130,280,0,8.19,13,9,40,5.7
20-04-2023,26,8.84,273,150,292,0,7.95,9,5,36,5.4
21-04-2023,27,8.62,247,125,280,0,8.06,10,6,48,5.7
22-04-2023,27,8.73,229,155,248,0,8.04,11,5,40,5.5
23-04-2023,28,8.81,207,135,252,0,8.12,9,7,44,5.9
24-04-2023,26,8.61,240,165,296,0,8.16,11,8,36,5.4
25-04-2023,27,8.58,258,160,312,0,8.14,12,6,44,5.3
26-04-2023,27,8.67,254,140,292,0,7.24,10,9,32,5.6
27-04-2023,26,8.65,244,232,300,0,8.21,11,7,48,5.4
28-04-2023,25,8.71,248,175,284,0,8.16,13,10,36,5.7
29-04-2023,26,8.72,204,160,280,0,7.28,11,5,44,5.6
30-04-2023,26,8.65,259,170,300,0,8.05,10,9,40,5.7
01-05-2023,23,8.4,290,155,280,0,8.1,9,16,36,5.3
02-05-2023,25,8.76,211,175,268,0,7.82,12,10,48,5.1
03-05-2023,26,8.9,227,200,312,0,8.18,9,27,28,5.4
04-05-2023,25,8.61,240,190,264,0,8.21,10,25,40,5.7
05-05-2023,26,8.73,235,205,300,0,7.88,13,28,104,4.1
06-05-2023,24,8.7,213,218,400,0,7.82,9,27,64,4
07-05-2023,24,8.64,189,207,432,0,8.18,11,21,140,4
08-05-2023,25,8.69,215,214,440,0,8.07,14,29,56,4.2
09-05-2023,26,8.31,231,135,248,0,8.14,12,20,52,5.1
10-05-2023,27,8.61,204,175,312,0,7.28,15,16,48,5
11-05-2023,27,7.91,213,195,308,0,8.06,10,19,56,5.2
12-05-2023,26,8.18,198,119,264,0,7.28,12,20,64,5.1
13-05-2023,25,8.65,248,185,300,0,8.04,17,14,52,5.3
14-05-2023,26,7.92,224,110,292,0,8.28,13,16,48,5.6
15-05-2023,27,8.31,259,130,248,0,7.62,10,14,36,5
16-05-2023,26,8.14,190,145,224,0,7.8,9,12,40,5.2
17-05-2023,27,8.21,228,195,312,0,8.18,11,18,48,5.1
18-05-2023,27,7.82,240,175,300,0,7.88,14,19,64,5.4
19-05-2023,26,8.71,212,180,296,0,8.04,9,16,56,5.3
20-05-2023,28,7.84,217,200,312,0,7.75,12,20,48,5.1
21-05-2023,26,7.42,231,180,300,0.2,8.28,13,14,52,4.9
